End of video
         741406 function calls (738711 primitive calls) in 49.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      298    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  176/173    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      143    0.000    0.000    0.013    0.000 re.py:287(_compile)
    97/33    0.000    0.000    0.007    0.000 sre_parse.py:435(_parse_sub)
      217    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      162    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1178    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       81    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      303    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
      349    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       60    0.000    0.000    0.002    0.000 fromnumeric.py:2092(sum)
       36    0.000    0.000    0.001    0.000 meat.py:146(get_center_as_point)
      325    0.000    0.000    0.000    0.000 functools.py:63(wraps)
     1178    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      981    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      283    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      184    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      141    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      356    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
       33    0.000    0.000    0.013    0.000 sre_compile.py:759(compile)
      166    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
        5    0.000    0.000    0.001    0.000 enum.py:129(__new__)
      140    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       27    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      619    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
    263/2    0.000    0.000   49.102   24.551 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      295    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      642    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      423    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      428    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
