Average frame time: 0.015815230921516227
         1141685 function calls (1127177 primitive calls) in 46.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      688    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      688    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2568    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
     1377    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      196    0.001    0.000    0.001    0.000 sre_parse.py:76(__init__)
      688    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.001    0.001    0.001    0.001 codata.py:1512(parse_constants_2018toXXXX)
     3666    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
   1216/2    0.001    0.000   46.521   23.260 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      152    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
       29    0.001    0.000    0.003    0.000 vector_tools.py:3(get_normal_unit)
       11    0.001    0.000    0.054    0.005 artist.py:1380(pprint_setters)
      467    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
     4879    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     4513    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     5655    0.001    0.000    0.001    0.000 inspect.py:2517(name)
      872    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     2429    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
     1260    0.001    0.000    0.001    0.000 colors.py:277(<genexpr>)
     4879    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      887    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      851    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      536    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2255    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
       72    0.001    0.000    0.009    0.000 __init__.py:1488(_preprocess_data)
     1482    0.001    0.000    0.004    0.000 re.py:170(match)
       12    0.001    0.000    0.001    0.000 artist.py:1261(<listcomp>)
       30    0.001    0.000    0.001    0.000 function_base.py:26(linspace)
      196    0.001    0.000    0.025    0.000 sre_parse.py:913(parse)
